Ticker,Date,Name,Sector,Industry,Country,Website,Market Cap,Enterprise Value,Float Shares,Shares Outstanding,P/E (trailing),P/E (forward),P/S,P/B,EV/EBITDA,EV/Revenue,Gross Margin (%),EBITDA Margin (%),Operating Margin (%),Profit Margin (%),ROE,ROA,Revenue (TTM),Revenue Growth (%),EPS (trailing),EPS (forward),Earnings Growth (%),Earnings Quarterly Growth (%),Total Cash,Total Debt,Debt to Equity,Current Ratio,Quick Ratio,Book Value,Free Cash Flow,Operating Cash Flow,Dividend Yield (%),Dividend Rate (%),5Y Avg Dividend Yield (%),Payout Ratio (%),Price,Target Price,Target High,Target Low,Analyst Rating,Analyst Rating Value,Beta,52W High,52W Low,50 Day Avg,200 Day Avg,Short Ratio,Short % of Float
ALL,2025-06-11,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,United States,https://www.allstate.com,51700416512.0,54714159104.0,263019394.0,264818000.0,13.63,10.26,0.79,2.58,9.06,0.84,0.2264,0.0925,0.0508,0.0619,0.2,0.03,65299001344.0,0.078,14.32,19.03,-0.527,-0.512,7381000192.0,8087000064.0,36.67,0.44,0.24,75.68,4154874880.0,9228999680.0,0.0199,0.04,0.0238,0.2568,195.23,227.59,286.0,149.0,buy,1.9,0.34,213.18,156.66,200.32,194.93,3.17,0.02
ALLE,2025-06-11,Allegion plc,Industrials,Security & Protection Services,Ireland,https://www.allegion.com,11964724224.0,13671404544.0,85747257.0,86049296.0,19.53,17.85,3.13,7.45,14.82,3.58,0.4449,0.2414,0.2085,0.1628,0.42,0.12,3820199936.0,0.054,7.12,7.79,0.213,0.197,494500000.0,2147399936.0,133.64,2.17,1.43,18.67,520400000.0,728400000.0,0.0146,0.0204,0.0135,0.2739,139.04,145.47,169.22,110.0,none,,1.03,156.1,113.27,135.74,136.22,3.81,0.04
AMAT,2025-06-11,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,https://www.appliedmaterials.com,140100091904.0,139373117440.0,799392549.0,802497984.0,20.76,18.02,4.99,7.39,15.94,4.96,0.4814,0.3113,0.3055,0.2406,0.36,0.16,28088999936.0,0.068,8.41,9.69,0.277,0.241,6746999808.0,6670000128.0,35.18,2.46,1.62,23.63,3740875008.0,7456000000.0,0.0108,0.0184,0.0087,0.1946,174.58,197.91,250.0,152.0,buy,1.74,1.66,255.89,123.74,153.46,171.92,2.19,0.02
AMCR,2025-06-11,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,https://www.amcor.com,21183438848.0,20624732160.0,1438464735.0,2291340032.0,16.51,11.7,1.57,3.47,10.86,1.53,0.2,0.1411,0.1077,0.0599,0.21,0.05,13461999616.0,-0.023,0.56,0.79,0.053,0.048,2044999936.0,9315999744.0,241.41,1.7,1.02,2.67,658000000.0,1219000064.0,0.0556,0.0051,0.045,0.905,9.24,11.6,13.0,10.83,buy,2.1,0.73,11.48,8.37,9.26,10.07,1.15,0.02
AMD,2025-06-11,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,https://www.amd.com,198978224128.0,197242847232.0,1610103008.0,1621400064.0,88.29,24.06,7.17,3.43,33.56,7.11,0.5358,0.2118,0.1084,0.0802,0.04,0.03,27750000640.0,0.359,1.39,5.1,5.252,4.764,7310000128.0,4730999808.0,8.17,2.8,1.76,35.82,3355624960.0,3459000064.0,0.0,0.0,0.0,0.0,122.72,128.76,200.0,95.0,buy,1.84,1.99,187.28,76.48,102.95,124.98,0.93,0.02
AME,2025-06-11,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,https://www.ametek.com,41890689024.0,43298807808.0,229738436.0,230879008.0,29.5,24.85,6.04,4.2,19.85,6.24,0.3576,0.3144,0.2566,0.2043,0.15,0.08,6936970752.0,-0.002,6.15,7.3,0.134,0.131,399000992.0,2169606912.0,21.76,1.41,16.59,43.18,1462736512.0,1836166016.0,0.0069,0.0124,0.0062,0.1882,181.44,192.44,225.0,158.0,buy,1.89,1.11,198.33,145.02,170.33,177.28,2.27,0.01
AMGN,2025-06-11,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,https://www.amgen.com,158072127488.0,206350106624.0,536334967.0,537705984.0,26.51,14.22,4.63,25.47,13.12,6.05,0.6907,0.4608,0.2873,0.1739,1.06,0.07,34126000128.0,0.094,11.09,20.67,,,8810000384.0,57380999168.0,924.46,1.17,0.74,11.54,13090124800.0,12192000000.0,0.0328,0.09519999999999999,0.0301,0.8323,293.98,314.7,400.0,185.0,buy,2.36,0.5,346.85,253.3,283.23,297.14,4.11,0.02
AMP,2025-06-11,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,https://www.ameriprise.com,49278701568.0,45246697472.0,94909390.0,95222704.0,17.63,13.4,2.72,9.11,,2.5,0.5662,0.0,0.3372,0.1656,0.58,0.02,18082000896.0,0.036,29.35,38.63,-0.384,-0.411,7980000256.0,4028000000.0,74.24,2.91,2.08,56.8,3326500096.0,6837000192.0,0.0124,0.064,0.016,0.2012,517.51,522.3,605.0,423.0,buy,2.23,1.23,582.05,385.74,487.93,508.13,3.58,0.02
AMT,2025-06-11,American Tower Corporation,Real Estate,REIT - Specialty,United States,https://www.americantower.com,100429643776.0,149148549120.0,466841502.0,468137984.0,34.49,31.59,9.87,28.41,22.33,14.66,0.7455,0.6564,0.4684,0.1794,0.28,0.05,10177399808.0,0.02,6.22,6.79,-0.471,-0.467,2103699968.0,44383600640.0,446.68,0.56,0.49,7.55,4535612416.0,5301899776.0,0.032,0.068,0.0258,1.0485,214.53,246.5,265.0,204.0,buy,1.65,0.83,243.56,172.51,215.42,209.36,1.89,0.01
AMZN,2025-06-11,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,https://www.aboutamazon.com,2304342491136.0,2373612470272.0,9571703330.0,10616399872.0,35.24,35.29,3.54,7.53,18.82,3.65,0.4916,0.194,0.1182,0.1014,0.25,0.08,650313007104.0,0.086,6.16,6.15,0.622,0.642,94564999168.0,157952999424.0,51.64,1.05,0.81,28.82,39273500672.0,113903001600.0,0.0,0.0,0.0,0.0,217.06,239.22,305.0,195.0,strong_buy,1.39,1.33,242.52,151.61,193.49,202.59,1.36,0.01
